ID,Chapter,Verse,Shloka,Transliteration,EngMeaning,HinMeaning,Purport
BG1.11,1,11,"अयनेषु च सर्वेषु यथाभागमवस्थिताः |
भीष्ममेवाभिरक्षन्तु भवन्तः सर्व एव हि ||१-११||","ayaneṣu ca sarveṣu yathābhāgamavasthitāḥ .
bhīṣmamevābhirakṣantu bhavantaḥ sarva eva hi ||1-11||",।।1.11।।विभिन्न मोर्चों पर अपने-अपने स्थान पर स्थित रहते हुए आप सब लोग भीष्म पितामह की ही सब ओर से रक्षा करें।,।।1.11।।विभिन्न मोर्चों पर अपने-अपने स्थान पर स्थित रहते हुए आप सब लोग भीष्म पितामह की ही सब ओर से रक्षा करें।,"1.11 However, venerable sirs, all of you without exception, while occupying all the positions in the different directions as alloted (to you respectively), please fully protect Bhisma in particular."
BG1.12,1,12,"तस्य सञ्जनयन्हर्षं कुरुवृद्धः पितामहः |
सिंहनादं विनद्योच्चैः शङ्खं दध्मौ प्रतापवान् ||१-१२||","tasya sañjanayanharṣaṃ kuruvṛddhaḥ pitāmahaḥ .
siṃhanādaṃ vinadyoccaiḥ śaṅkhaṃ dadhmau pratāpavān ||1-12||","।।1.12।।उस समय कौरवों में वृद्ध, प्रतापी पितामह भीष्म ने उस (दुर्योधन) के हृदय में हर्ष उत्पन्न करते हुये उच्च स्वर में गरज कर शंखध्वनि की।","।।1.12।।उस समय कौरवों में वृद्ध, प्रतापी पितामह भीष्म ने उस (दुर्योधन) के हृदय में हर्ष उत्पन्न करते हुये उच्च स्वर में गरज कर शंखध्वनि की।","1.12 The valiant grandfather, the eldest of the Kurus, loudly sounding a lion-roar, blew the conch to raise his (Duryodhana's) spirits."
BG1.13,1,13,"ततः शङ्खाश्च भेर्यश्च पणवानकगोमुखाः |
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् ||१-१३||","tataḥ śaṅkhāśca bheryaśca paṇavānakagomukhāḥ .
sahasaivābhyahanyanta sa śabdastumulo.abhavat ||1-13||","।।1.13।।तत्पश्चात् शंख, नगारे, ढोल व शृंगी आदि वाद्य एक साथ ही बज उठे, जिनका बड़ा भयंकर शब्द हुआ।","।।1.13।।तत्पश्चात् शंख, नगारे, ढोल व शृंगी आदि वाद्य एक साथ ही बज उठे, जिनका बड़ा भयंकर शब्द हुआ।","1.13  Just immediately after that conchs and kettledrums, and tabors, trumpets and cow-horns blared forth. That sound became tumultuous."
BG1.14,1,14,"ततः श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |
माधवः पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतुः ||१-१४||","tataḥ śvetairhayairyukte mahati syandane sthitau .
mādhavaḥ pāṇḍavaścaiva divyau śaṅkhau pradadhmatuḥ ||1-14||",।।1.14।।इसके उपरान्त श्वेत अश्वों से युक्त भव्य रथ में बैठे हुये माधव (श्रीकृष्ण) और पाण्डुपुत्र अर्जुन ने भी अपने दिव्य शंख बजाये।,।।1.14।।इसके उपरान्त श्वेत अश्वों से युक्त भव्य रथ में बैठे हुये माधव (श्रीकृष्ण) और पाण्डुपुत्र अर्जुन ने भी अपने दिव्य शंख बजाये।,"1.14  Then, Madhava (Krsna) and the son of Pandu (Arjuna), stationed in their magnificent chariot with white horses yoked to it, loudly blew their divine conchs."
BG1.15,1,15,"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जयः |
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदरः ||१-१५||","pāñcajanyaṃ hṛṣīkeśo devadattaṃ dhanañjayaḥ .
pauṇḍraṃ dadhmau mahāśaṅkhaṃ bhīmakarmā vṛkodaraḥ ||1-15||","।।1.15।।भगवान् हृषीकेश ने पांचजन्य, धनंजय (अर्जुन) ने देवदत्त तथा भयंकर कर्म करने वाले भीम ने पौण्डू नामक महाशंख बजाया।","।।1.15।।भगवान् हृषीकेश ने पांचजन्य, धनंजय (अर्जुन) ने देवदत्त तथा भयंकर कर्म करने वाले भीम ने पौण्डू नामक महाशंख बजाया।",1.15  Hrsikesa (Krsna) (blew the conch) Pancajanya; Dhananjaya (Arjuna) (the conch) Devadatta; and Vrkodara (Bhima) of terrible deeds blew the great conch Paundra;
BG1.16,1,16,"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिरः |
नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ||१-१६||","anantavijayaṃ rājā kuntīputro yudhiṣṭhiraḥ .
nakulaḥ sahadevaśca sughoṣamaṇipuṣpakau ||1-16||",।।1.16।।कुन्तीपुत्र राजा युधिष्ठिर ने अनन्त विजय नामक शंख और नकुल व सहदेव ने क्रमश:  सुघोष और मणिपुष्पक नामक शंख बजाये।,।।1.16।।कुन्तीपुत्र राजा युधिष्ठिर ने अनन्त विजय नामक शंख और नकुल व सहदेव ने क्रमश:  सुघोष और मणिपुष्पक नामक शंख बजाये।,"1.16  King Yudhisthira, son of Kunti, (blew) the Anantavijaya; Nakula and Sahadeva, the Sughosa and the Manipuspaka (respectively)."
BG1.17,1,17,"काश्यश्च परमेष्वासः शिखण्डी च महारथः |
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ||१-१७||","kāśyaśca parameṣvāsaḥ śikhaṇḍī ca mahārathaḥ .
dhṛṣṭadyumno virāṭaśca sātyakiścāparājitaḥ ||1-17||","।।1.17।।श्रेष्ठ धनुषवाले काशिराज, महारथी शिखण्डी, धृष्टद्युम्न,  राजा विराट और अजेय सात्यकि।","।।1.17।।श्रेष्ठ धनुषवाले काशिराज, महारथी शिखण्डी, धृष्टद्युम्न,  राजा विराट और अजेय सात्यकि।","1.17  And the King of Kasi, wielding a great bow, and the great chariot-rider Sikhandi, Dhrstadyumna and Virata, and Satyaki the unconered;"
BG1.18,1,18,"द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते |
सौभद्रश्च महाबाहुः शङ्खान्दध्मुः पृथक्पृथक् ||१-१८||","drupado draupadeyāśca sarvaśaḥ pṛthivīpate .
saubhadraśca mahābāhuḥ śaṅkhāndadhmuḥ pṛthakpṛthak ||1-18||","।।1.18।।हे राजन् ! राजा द्रुपद,  द्रौपदी के पुत्र और महाबाहु सौभद्र (अभिमन्यु) इन सब ने अलग-अलग शंख बजाये।","।।1.18।।हे राजन् ! राजा द्रुपद,  द्रौपदी के पुत्र और महाबाहु सौभद्र (अभिमन्यु) इन सब ने अलग-अलग शंख बजाये।","1.18  Drupada and the sons of Draupadi, and the son of Subhadra, (Abhimanyu) the mighty-armed  all (of them) together, O king, blew their respective conchs."
BG1.19,1,19,"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् (or लोव्यनु) ||१-१९||","sa ghoṣo dhārtarāṣṭrāṇāṃ hṛdayāni vyadārayat .
nabhaśca pṛthivīṃ caiva tumulo.abhyanunādayan (lo vyanu)||1-19||",।।1.19।।वह भयंकर घोष आकाश और पृथ्वी पर गूँजने लगा और उसने धृतराष्ट्र के पुत्रों के हृदय विदीर्ण कर दिये।,।।1.19।।वह भयंकर घोष आकाश और पृथ्वी पर गूँजने लगा और उसने धृतराष्ट्र के पुत्रों के हृदय विदीर्ण कर दिये।,1.19  That tremendous sound pierced the hearts of the sons of Dhrtarastra as it reverberated through the sky and the earth.
BG1.20,1,20,"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः |
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः |
हृषीकेशं तदा वाक्यमिदमाह महीपते ||१-२०||","atha vyavasthitāndṛṣṭvā dhārtarāṣṭrān kapidhvajaḥ .
pravṛtte śastrasampāte dhanurudyamya pāṇḍavaḥ ||1-20||",।।1.20।।हे महीपते ! इस प्रकार जब युद्ध प्रारम्भ होने वाला ही था कि कपिध्वज अर्जुन ने धृतराष्ट्र के पुत्रों को स्थित देखकर धनुष उठाकर भगवान् हृषीकेश से ये शब्द कहे।,।।1.20।।हे महीपते ! इस प्रकार जब युद्ध प्रारम्भ होने वाला ही था कि कपिध्वज अर्जुन ने धृतराष्ट्र के पुत्रों को स्थित देखकर धनुष उठाकर भगवान् हृषीकेश से ये शब्द कहे।,"1.20  O king, thereafter, seeing Dhrtarastra's men standing in their positions, when all the weapons were ready for action, the son of Pandu (Arjuna) who had the insignia of Hanuman of his chariot-flag, raising up his bow, said the following to Hrsikesa."
BG1.21,1,21,"अर्जुन उवाच |
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ||१-२१||","hṛṣīkeśaṃ tadā vākyamidamāha mahīpate .
arjuna uvāca .
senayorubhayormadhye rathaṃ sthāpaya me.acyuta ||1-21||",।।1.21।।अर्जुन ने कहा -- हे! अच्युत मेरे रथ को दोनों सेनाओं के मध्य खड़ा कीजिये।,।।1.21।।अर्जुन ने कहा -- हे! अच्युत मेरे रथ को दोनों सेनाओं के मध्य खड़ा कीजिये।,"1.21  Arjuna said  O Acyuta, please place my chariot between both the armies  ."
BG1.22,1,22,"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ||१-२२||","yāvadetānnirikṣe.ahaṃ yoddhukāmānavasthitān .
kairmayā saha yoddhavyamasmin raṇasamudyame ||1-22||",।।1.22।।जिससे मैं युद्ध की इच्छा से खड़े इन लोगों का निरीक्षण कर सकूँ कि इस युद्ध में मुझे किनके साथ युद्ध करना है।,।।1.22।।जिससे मैं युद्ध की इच्छा से खड़े इन लोगों का निरीक्षण कर सकूँ कि इस युद्ध में मुझे किनके साथ युद्ध करना है।,"1.22   until I survey these who stand intent on fighting, and those who are going to engage in battle with me in this impending war."
BG1.23,1,23,"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः |
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ||१-२३||","yotsyamānānavekṣe.ahaṃ ya ete.atra samāgatāḥ .
dhārtarāṣṭrasya durbuddheryuddhe priyacikīrṣavaḥ ||1-23||","।।1.23।।दुर्बुद्धि धार्तराष्ट्र (दुर्योधन) का युद्ध में प्रिय चाहने वाले जो ये राजा लोग यहाँ एकत्र हुए हैं, उन युद्ध करने वालों को मैं देखूँगा।","।।1.23।।दुर्बुद्धि धार्तराष्ट्र (दुर्योधन) का युद्ध में प्रिय चाहने वाले जो ये राजा लोग यहाँ एकत्र हुए हैं, उन युद्ध करने वालों को मैं देखूँगा।","1.23  These who have assembled here and want to accomplish in the war what is dear to the perverted son of Dhrtarastra, I find them to be intent on fighting."
BG1.24,1,24,"सञ्जय उवाच |
एवमुक्तो हृषीकेशो गुडाकेशेन भारत |
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ||१-२४||","sañjaya uvāca .
evamukto hṛṣīkeśo guḍākeśena bhārata .
senayorubhayormadhye sthāpayitvā rathottamam ||1-24||",।।1.24।।संजय ने कहा -- हे भारत (धृतराष्ट्र) ! अर्जुन के इस प्रकार कहने पर भगवान् हृषीकेश ने दोनों सेनाओं के मध्य उत्तम रथ को खड़ा करके।,।।1.24।।संजय ने कहा -- हे भारत (धृतराष्ट्र) ! अर्जुन के इस प्रकार कहने पर भगवान् हृषीकेश ने दोनों सेनाओं के मध्य उत्तम रथ को खड़ा करके।,"1.24  1.25  Sanjay said  O scion of the line of Bharata (Dhrtararastra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhisma and Drona as also all the rulers of the earth, and said, 'O Partha (Arjuna), see these assempled people of the Kuru dynasty.'"
BG1.25,1,25,"भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् |
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति ||१-२५||","bhīṣmadroṇapramukhataḥ sarveṣāṃ ca mahīkṣitām .
uvāca pārtha paśyaitānsamavetānkurūniti ||1-25||","।।1.25।। भीष्म, द्रोण तथा पृथ्वी के समस्त शासकों के समक्ष उन्होंने कहा, ""हे पार्थ यहाँ एकत्र हुये कौरवों को देखो""।","।।1.25।। भीष्म, द्रोण तथा पृथ्वी के समस्त शासकों के समक्ष उन्होंने कहा, ""हे पार्थ यहाँ एकत्र हुये कौरवों को देखो""।","1.24  1.25 Sanjay said  O scion of the line of Bharata (Dhrtararastra), Hrsikesa, being told so by Gudakesa (Arjuna), placed the excellent chariot between the two armies, in front of Bhisma and Drona as also all the rulers of the earth, and said, 'O Partha (Arjuna), see these assempled people of the Kuru dynasty.'"
BG1.26,1,26,"तत्रापश्यत्स्थितान्पार्थः पितॄनथ पितामहान् |
आचार्यान्मातुलान्भ्रातॄन्पुत्रान्पौत्रान्सखींस्तथा ||१-२६||","tatrāpaśyatsthitānpārthaḥ pitṝnatha pitāmahān .
ācāryānmātulānbhrātṛnputrānpautrānsakhīṃstathā ||1-26||","।।1.26।।वहाँ अर्जुन ने उन दोनों सेनाओं में खड़े पिता के भाइयों,  पितामहों,  आचार्यों,  मामों, भाइयों, पुत्रों,  पौत्रों,  मित्रों,  श्वसुरों और सुहृदों को भी देखा।","।।1.26।।वहाँ अर्जुन ने उन दोनों सेनाओं में खड़े पिता के भाइयों,  पितामहों,  आचार्यों,  मामों, भाइयों, पुत्रों,  पौत्रों,  मित्रों,  श्वसुरों और सुहृदों को भी देखा।","1.26 Then Partha (Arjuna) saw, marshalled among both the armies, (his) uncles as also grandfathers, teachers, maternal uncles, brothers (and (cousins), sons, grandsons, as well as comrades and fathers-in-law and friends."
BG1.27,1,27,"श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि |
तान्समीक्ष्य स कौन्तेयः सर्वान्बन्धूनवस्थितान् ||१-२७||","śvaśurānsuhṛdaścaiva senayorubhayorapi .
tānsamīkṣya sa kaunteyaḥ sarvānbandhūnavasthitān ||1-27||",।।1.27।।इस प्रकार उन सब बन्धु-बान्धवों को खड़े देखकर कुन्ती पुत्र अर्जुन का मन करुणा से भर गया और विषादयुक्त होकर उसने यह कहा।,।।1.27।।इस प्रकार उन सब बन्धु-बान्धवों को खड़े देखकर कुन्ती पुत्र अर्जुन का मन करुणा से भर गया और विषादयुक्त होकर उसने यह कहा।,"1.27  The son of Kunti (Ajuna), seeing all those rlatives arrayed (there), became overwhelmed by supreme compassion and said this sorrowfully:"
BG1.28,1,28,"कृपया परयाविष्टो विषीदन्निदमब्रवीत् |
अर्जुन उवाच |
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ||१-२८||","kṛpayā parayāviṣṭo viṣīdannidamabravīt .
arjuna uvāca .
dṛṣṭvemaṃ svajanaṃ kṛṣṇa yuyutsuṃ samupasthitam ||1-28||","।।1.28 1.29।।अर्जुन ने कहा -- हे कृष्ण ! युद्ध की इच्छा रखकर उपस्थित हुए इन स्वजनों को देखकर मेरे अंग शिथिल हुये जाते हैं, मुख भी सूख रहा है और मेरे शरीर में कम्प तथा रोमांच हो रहा है।।","।।1.28 1.29।।अर्जुन ने कहा -- हे कृष्ण ! युद्ध की इच्छा रखकर उपस्थित हुए इन स्वजनों को देखकर मेरे अंग शिथिल हुये जाते हैं, मुख भी सूख रहा है और मेरे शरीर में कम्प तथा रोमांच हो रहा है।।","1.28 Arjuna said  O Krsna, seeing these relatives and friends who have assembled here with the intention of fighting, my limbs become languid and my mouth becomes completely dry."
BG1.29,1,29,"सीदन्ति मम गात्राणि मुखं च परिशुष्यति |
वेपथुश्च शरीरे मे रोमहर्षश्च जायते ||१-२९||","sīdanti mama gātrāṇi mukhaṃ ca pariśuṣyati .
vepathuśca śarīre me romaharṣaśca jāyate ||1-29||","।।1.28 1.29।।अर्जुन ने कहा -- हे कृष्ण !  युद्ध की इच्छा रखकर उपस्थित हुए इन स्वजनों को देखकर मेरे अंग शिथिल हुये जाते हैं,  मुख भी सूख रहा है और मेरे शरीर में कम्प तथा रोमांच हो रहा है।","।।1.28 1.29।।अर्जुन ने कहा -- हे कृष्ण !  युद्ध की इच्छा रखकर उपस्थित हुए इन स्वजनों को देखकर मेरे अंग शिथिल हुये जाते हैं,  मुख भी सूख रहा है और मेरे शरीर में कम्प तथा रोमांच हो रहा है।","1.29 And there is trembling in my body, and there is horripillation; the Gandiva (bow) slips from the hand and even the skin burns intensely."
BG1.30,1,30,"गाण्डीवं स्रंसते हस्तात्त्वक्चैव परिदह्यते |
न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ||१-३०||","gāṇḍīvaṃ sraṃsate hastāttvakcaiva paridahyate .
na ca śaknomyavasthātuṃ bhramatīva ca me manaḥ ||1-30||","।।1.30।।मेरे हाथ से गाण्डीव (धनुष) गिर रहा है और त्वचा जल रही है। मेरा मन भ्रमित सा हो रहा है,  और मैं खड़े रहने में असमर्थ हूँ।","।।1.30।।मेरे हाथ से गाण्डीव (धनुष) गिर रहा है और त्वचा जल रही है। मेरा मन भ्रमित सा हो रहा है,  और मैं खड़े रहने में असमर्थ हूँ।","1.30 Moreover, O Kesava (Krsna), I am not able to stand firmly, and my mind seems to be whirling. And I notice the omens to be adverse."
BG1.31,1,31,"निमित्तानि च पश्यामि विपरीतानि केशव |
न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ||१-३१||","nimittāni ca paśyāmi viparītāni keśava .
na ca śreyo.anupaśyāmi hatvā svajanamāhave ||1-31||",।।1.31।।हे केशव ! मैं शकुनों को भी विपरीत ही देख रहा हूँ और युद्ध में (आहवे) अपने स्वजनों को मारकर कोई कल्याण भी नहीं देखता हूँ।,।।1.31।।हे केशव ! मैं शकुनों को भी विपरीत ही देख रहा हूँ और युद्ध में (आहवे) अपने स्वजनों को मारकर कोई कल्याण भी नहीं देखता हूँ।,"1.31 Besides, I do not see any good (to be derived) from killing my own people in battle. O Krsna, I do not hanker after victory, nor even a kingdom nor pleasures."
BG1.32,1,32,"न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |
किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ||१-३२||","na kāṅkṣe vijayaṃ kṛṣṇa na ca rājyaṃ sukhāni ca .
kiṃ no rājyena govinda kiṃ bhogairjīvitena vā ||1-32||","।।1.32।।हे कृष्ण ! मैं न विजय चाहता हूँ, न राज्य और न सुखों को ही चाहता हूँ। हे गोविन्द ! हमें राज्य से अथवा भोगों से और जीने से भी क्या प्रयोजन है?।","।।1.32।।हे कृष्ण ! मैं न विजय चाहता हूँ, न राज्य और न सुखों को ही चाहता हूँ। हे गोविन्द ! हमें राज्य से अथवा भोगों से और जीने से भी क्या प्रयोजन है?।","1.32  1.34  O Govinda! What need do we have of a kingdom, or what (need) of enjoyments and livelihood? Those for whom kingdom, enjoyments and pleasures ae desired by us, viz teachers, uncles, fathers-in-law, grandsons, brothers-in-law as also relatives-those very ones stand arrayed for battle risking their lives and wealth."
